text,sentiment
"Now, I won't deny that when I purchased this off eBay, I had high expectations. This was an incredible out-of-print work from the master of comedy that I so enjoy. However, I was soon to be disappointed. Apologies to those who enjoyed it, but I just found the Compleat Al to be very difficult to watch. I got a few smiles, sure, but the majority of the funny came from the music videos (which I've got on DVD) and the rest was basically filler. You could tell that this was not Al's greatest video achievement (that honor goes to UHF). Honestly, I doubt if this will ever make the jump to DVD, so if you're an ultra-hardcore Al fan and just HAVE to own everything, buy the tape off eBay. Just don't pay too much for it.",neg
"The saddest thing about this ""tribute"" is that almost all the singers (including the otherwise incredibly talented Nick Cave) seem to have missed the whole point where Cohen's intensity lies: by delivering his lines in an almost tuneless poise, Cohen transmits the full extent of his poetry, his irony, his all-round humanity, laughter and tears in one.<br /><br />To see some of these singer upstarts make convoluted suffering faces, launch their pathetic squeals in the patent effort to scream ""I'm a singer!,"" is a true pain. It's the same feeling many of you probably had listening in to some horrendous operatic versions of simple songs such as Lennon's ""Imagine."" Nothing, simply nothing gets close to the simplicity and directness of the original. If there is a form of art that doesn't need embellishments, it's Cohen's art. Embellishments cast it in the street looking like the tasteless make-up of sex for sale.<br /><br />In this Cohen's tribute I found myself suffering and suffering through pitiful tributes and awful reinterpretations, all of them entirely lacking the original irony of the master and, if truth be told, several of these singers sounded as if they had been recruited at some asylum talent show. It's Cohen doing a tribute to them by letting them sing his material, really, not the other way around: they may have been friends, or his daughter's, he could have become very tender-hearted and in the mood for a gift. Too bad it didn't stay in the family.<br /><br />Fortunately, but only at the very end, Cohen himself performed his majestic ""Tower of Song,"" but even that flower was spoiled by the totally incongruous background of the U2, all of them carrying the expression that bored kids have when they visit their poor grandpa at the nursing home.<br /><br />A sad show, really, and sadder if you truly love Cohen as I do.",neg
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder .....it completely ...and I mean completely S%&KS !!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except for only one fact that I tip my hat to... Jay Hernandez who plays the young Brigante.... reminded me how De Niro got into the shoes of Brando to portray the young Don Corleone in Godfather II ...but the difference De Niro was amazing and even got an Oscar for it !!! Jay Hernandez well he has guts for trying to be a young Pacino.... too bad for him I don't think he will be playing in film anymore and by the way after I watched this sh#$%ty movie, I sat down and watched the original Carlitos way to get the bad taste out of my mouth.",neg
"I have to admit that i liked the first half of Sleepers. It looked good, the acting was even better, the story of childhood, pain and revenge was interesting and moving. A superior hollywood film. But...No one mentioned this so far (at least in the latest 20 comments), when it came to the courtroom scenes and Brat Pitt´s character followed his plan to rescue his two friends, who are rightly accused of murder, i felt cheated. This movie insulted my intelligence. <br /><br />Warning spoilers!!<br /><br />Why did anyone accept their false alibi, witnessed by the priest? If these two guys had been with him, why shouldn´t they tell this during the investigation? Amnesia? If you were the judge or member of the jury, would you believe it? Is it wise to give the motif of the murderers away?<br /><br />I am sorry, but in the end, the story is very weak, and this angers me. This movie had great potential. 4/10",neg
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film not very funny.<br /><br />The premise of the film is that Calvin Sims who is a 2inch midget, gets out of jail and steals a giant sized diamond but is then forced to put it in a womens handbag. So the rest of the movie sees him passing himself off as an abandoned baby, getting into this womens house so he can get this diamond back.<br /><br />Up until now, I have enjoyed most of the output from the Wayans Brothers - but this film is certainly taking the biscuit.<br /><br />A Bit of good advice - wait till it comes on TV or Cable",neg
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says, ""Who wants food?"" One of his poker player buddies asks, ""What do ya got?"" Oscar says, ""I got brown sandwiches and green sandwiches."" ""What's the brown?"" It's either very new cheese or very old meat!"" I also love the line about Oscar's refrigerator, ""It's been out of order for two weeks, I saw milk standing in there that wasn't even in a bottle!"" There is no question that Walter Matthau's Oscar Madison is a joy to watch on screen. He's almost as good as Jack Klugman's version in the TV series.<br /><br />The problem with the movie is Jack Lemmon's Felix Ungar. Jack makes a very, very, honest effort at the role. The problem is that he makes Felix SO depressing and down-trodden that he becomes more annoying than comical. Tony Randall's performance in the series, brought the kind of humor, warmth, and sensitivity, to Felix's character, which Lemmon's portrayal lacks. Tony's Felix Unger obviously could be annoying some of the time. However, in the TV series, it related to specific situations where the annoyance was needed in the storyline. Jack's Felix Ungar, (note the different spelling) in the movie, seems to never be happy, fun, or interesting. The movie Felix Ungar is a roommate that drives you up the wall, all the time.<br /><br />The movie still has great moments that withstand the test of time, the ""famous"" meatloaf fight is one of the greatest scenes ever! One of the other great examples of Felix's ""little notes"" on Oscar's pillow will be remembered forever. However, there are some darker sides where Oscar goes over the top, His ""crying"" near the end after bawling out Felix, and a scene involving Felix's Linguine dinner, (although lightened by a funny line.) seem more depressing than comical.<br /><br />Perhaps there wasn't enough time to see the lighter side of these characters that made the series so memorable in the movie. The beginning 20 minutes are very boring. The same issue occurs with Felix's conversation with the Pidgeon Sisters. The movie's ending is predictable and too pat. There's very little care or compassion for each of them by the other. The result is that the darker side of the film leads to a lot of depression and anger, rather than comedy, unless you are watching the great scenes described above. It appears that Jack Lemmon's monotone persona of Felix brings the film down, rather than enhances or embraces the comedy between the characters.<br /><br />It really took the 1970's TV series to make The Odd Couple the best that it could be. The original film is still very good. However, the TV series is much better.",pos
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by Keaton. At one point she breaks a promise she made to one character not to reveal that he had been sleeping around. <br /><br />One of the other commentators said the movie had a ""political agenda"". That is a baffling thing to say. There was no politics at all in this movie.",pos
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.",neg
"Fast-paced, funny, sexy, and spectacular. Cagney is always terrific. Blondel charms you with her wit and energy. It's obvious that this is a pre-censorship film by the innuendo in the script, the costumes,and the way they touch each other. And bikinis before there were bikinis! This is no holds barred fun for everyone. I don't understand the John Garfield issue though. Does it matter whether or not he's in this film? If he is, he screen is so short that he's basically a prop. You need to watch it frame by frame to even find him if he's there. I'm a big Cagney fan, but had never seen this one before. I found it on Turner Classics. I found it by wonderful accident. Sit back and enjoy the ride!",pos
"The proverb ""Never judge a book by it's cover"", was coined as a warning to those who fail to look beneath the surface. <br /><br />As I viewed the artwork to,""King of the Ants"" I instantly thought HORROR! The arcane imagery proudly displayed on the cover & back spoke of a dark vision, the synopsis promised a story of murder, betrayal, & retribution. Instead what I discovered beneath that surface, was less interesting than what you can find under your average rock.<br /><br />""King of the Ants"" features Chris L. McKenna as Sean Crawley, an average guy ready to make a name for himself in this world, even if it means murder. Except Sean Crawley is someone you don't care about, never once did I feel any compassion or sympathy for this character. In fact he's downright unlikable, but not as much as Daniel Baldwin (Ray Mathews)who turns in an uninspired performance as a made all the worst by the utterly laughable dialogue he is forced to recite. Throw in Kari Wuhrer as a grieving widow who apparently has unconditional trust (esp. in the homeless), and little to no common sense, and George Wendt as Duke, which is basically a sober Norm from Cheers but MEAN!<br /><br />Now there are a couple of interesting ""hallucination"" sequences in this film (the source of the cover images) but this film never delves further into that world. It prefers to bombard you with unmotivated characters, bad dialogue, and unlikely event after unlikely event. Oh the Horror!",neg
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade. <br /><br />If the casting was a bad joke - e.g., Richards as Kramer playing Micawber - which it was, then the direction and acting were the poorly- delivered punch lines. Getting beyond Kramer as Micawber, if possible, Ham was such a complete ogre, hunch-back and all, that I was half expecting at some point to see him being pursued by an angry pitch-fork and torch wielding mob of villagers. Uriah was almost as much of a clown figure as Micawber. Mr. Murdstone evoked about as much terror as that Muppet vampire from Sesame street. The actor playing older David was, I believe, actually a woman. In any case, looking perpetually as if he wished he could find a mirror to see how pretty he looked, and fancied that he looked quite pretty indeed, he could scarcely convince us that he was writing with a quill pen. And while we're on that subject, in one of the many gross inaccuracies perpetrated by the half-wit producers of this embarrassment, in the unnecessary shots of David writing his story he appears to be somewhere between 18 and 21 years old, when he should be in his forties. Perhaps the greatest transgression, although it's difficult to choose, was the invented showdown between David and Murdstone as he courted a third wife in Switzerland, preceded of course by the invented death of Murdstone's second wife. While they were at it it is a wonder they didn't send Heep to the guillotine, and have him deliver Sidney Carton's famous last words. It couldn't have made things much worse really. It might have been far far better.<br /><br />There are literally thousands of small and large sins against literature throughout this miscarriage of art, and anyone who watches it runs the risk of severe and permanent damage to all aspects of their sensibility.",neg
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in Sandler's career, but I'm guessing it was even before his SNL days. I can be wrong. This is like watching one of his home movies. He might look back at a cheesy movie like this and reminisce about the good ol' times...but we (the audience) are left to dry. This is hardly a ""movie""! Sandler does a lot of talking to the camera, and even admits at one point that this is ""no-budget"" movie (that's right, not a low-budget movie, a NO-budget movie). So our job is pretty much to laugh AT the quirky characters. There is no steady plot, it's like an extended sketch comedy show--but a crude and badly written one. That guy who played the nasty comedian was completely annoying and it was implausible in the first place that he would receive such a mass audience. And Sandler finds his comic inspiration by saying the one classic Henny Youngman line ""Take my wife, please"" and the audience is on the floor? I'm not even going to TRY to make any logic here. Sure, Sandler's current and recent movies are not known for making a lot of sense (the penguin in ""Billy Madison,"" the midget in ""Happy Gilmore's"" Happy Place) but the comedy works. This is a strictly amateurish work, and even if you're curious about Adam's early days in film--you still won't be interested. You're better off checking out his start on SNL or maybe his underrated role in ""Mixed Nuts."" Of course, the Sandman is not the only actor wasted in this thankless vehicle. Billy Bob Thornton also makes a short appearance, Billy Zane (""Titanic"") has a supporting role and the great Burt Young (from the ""Rocky"" movies) has a significant role. <br /><br />This awful comedy will most probably be collecting dust on the 99-cent rental section of your local video store--and rightfully so. <br /><br />My score: 3 (out of 10)",neg
"My kids picked this out at the video store...it's great to hear Liza as Dorothy cause she sounds just like her mom. But there are too many bad songs, and the animation is pretty crude compared to other cartoons of that time.",neg
"A little girl's dead body is found stripped of all possible means of identification. When it is discovered that one leg is longer than the other, it is assumed to be the body of a couple's missing daughter. After this trauma, the couple separates and the mother becomes addicted to tranquilizers and leads a miserable existence. All of this changes when one day, many years later, she receives a phone call from her daughter! With the help of an ex-cop and a reporter, she sets out on a journey to determine if her daughter is indeed alive. ""Los Sin Nombre"" is a mess plot-wise, moves at an achingly slow pace, and is completely unscary. The saving grace is Emma Vilarasau, who does an outstanding job as the desperate mother. The best part of the movie is the ending, but I'm not sure it is worth enduring the rest of the film. Beware of the English subtitles on the recent R1 release--they aren't very accurate.",neg
"This is indeed a god adaptation of Jane Austen's novel. Compared with the American Version with Guinneth Paltrow, the script was written to resemble as much as possible the book. But the acting was awful. Besides Kate Beckinsale, who I believe was a true likeness of the Emma in the book, all the other actors were trying too hard. Mark Strong was not the ""gentleman"" he was supposed to be. He was often rude and offensive, had no feeling whatsoever, and throughout the entire film you could not see his love ""growing"" for Emma at all. This had a terrible effect on Kate Beckinsale, who seemed to be trying to ""resque"" her leading role as well as her partner's. Moreover, there was no chemistry between the entire cast. Hariett Smith, played by Samantha Morton, seemed to have no real attachment to Mr. Elton, played by Dominic Rowan. Therefore, she did not seem as heartbroken as she was portrayed in the book. The settings of the film are also too poor. The costumes are even more so. I would have imagined Emma Woodhouse to dress in a more fashionable and elegant way that she does here. The ending is also too long. It is good that it resembles the book's ending, but it is a killer ending for a film. And again, I can see no feeling of happiness in the face of Mr.Knightley. To conclude, I believed this adaptation to be loyal to the book, but with poor actors. It seemed as if the film was made without any budget at all. I would prefer to see the ""lighter"" version with Paltrow and Northam, even if it is clear that it was made to be a ""blockbuster"", than to watch these actors (excepting the good Olivia Williams and the better Kate Beckinsale) ruin the entire script.",neg
"Spoilers... if such a thing is possible... . . . . . . . As a rabid Robin Williams fan, I felt it necessary to buy this film as first on-screen appearance. Wow... I could not imagine a more mind-numbing movie. Essentially, the movie takes one bad joke after another that your uncle Artie would tell you after dinner and dramatizes them. Robin Williams plays a lawyer in a 30 sec skit.<br /><br />I'm all for bawdy humor, but this humor wasn't pleasantly vulgar, or ribald... it was just mind-numbing. There are no redeeming qualities to this film, other than Robin Williams fanatics, like me, who simply have to own every piece of film.",neg
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (Turturro) her character has to display intelligence as well as a woman's love. Watson does not portray beauty-pageant sexuality, but she brings to her parts a self-awareness that is alluring.<br /><br />	In a chance meeting between Natalia (Watson) and Luzhin, she casually stops him from losing a chess piece that has fallen through a hole in his clothing - a specially crafted piece that, we realize later in the film, has come to symbolize his hopes and aspirations. Later, as their love affair develops, she subtly likens dancing to chess (Luzhin has learnt to dance but never with a partner); she encourages him to lead her with ""bold, brilliant moves"" and in doing so enables him to relax sufficiently to later play at his best (and also realize himself as her lover).<br /><br />	This is a story of a woman who inspires a man to his greatest achievement and, in so doing finds her own deepest fulfillment, emotionally and intellectually (Or so we are led to believe - certainly, within the time frame, Natalia is something of a liberated woman rather than someone who grooms herself to be a stereotypical wife and mother).<br /><br />	The Italian sets are stunning. The complexity of the characters and the skill with which the dialogue unfolds them is a delight to the intelligent movie-goer, yet the film is accessible enough to make it a popular mainstream hit, and most deservedly so. Chess is merely the photogenic backdrop for developing an emotional and emotive movie, although the game is treated with enough respect to almost convince a chess-player that the characters existed. Although a tragedy of remarkable heights by a classic author, the final denouement is nevertheless surprisingly uplifting.",pos
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ever gathered wood. Then when the vegan (hah) burned the bodies, what did she use for an accelerant? I mean these guys were frozen  well maybe not. Despite the apparent low temperature everything the yeti ate, bled. Maybe it's just me, but even in a totally unbelievable tale (none of the survivors had ever heard of a yeti, or an abominable snowman, until the very end), if you take care of the little things the bigger deals become more acceptable. Oh, what did the prologue (1972) have to do with the remainder of the movie? And the revolver, warm enough to hold in his hand, froze up and wouldn't fire. Gimme a break. Well, at least we have Carly Pope, another eminently lovely Canadian lass. And, with little irony, Ed Marinaro as the coach.<br /><br />Well I might as well add, the rabbit they ate (despite it looking like chicken) is not a rodent, but a lagomorph. Now if it had been a squirrel (or a rat) it would have been a rodent, but it still looked like chicken. And the writers missed a real chance to have someone note ""It tastes just like...""",neg
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 minutes. Actually, had it been a comic movie i would've given it a 5. Don't you even think about renting this unless you want to mock at the producers.<br /><br />Vote: 2 out of 10 - didn't vote one because it made me laugh all the time ;-)",neg
"It appears even the director doesn't like this film,but for me I think he's being a bit harsh on himself.<br /><br />Sure it's not perfect, but there are some atmospheric shots,and the story is good enough to keep you interested throughout.<br /><br />It's shot in what appears to be quite a pretty village which adds to the atmosphere as well.<br /><br />If you like horror films shot in England, give it a go.<br /><br />I have just seen a trailer for this directors latest film 'The Devil's Chair' which looks quite amazing.<br /><br />There aren't enough English horror films for me, so any that come along deserve our attention, and this one isn't as bad as you may think",pos
"There is a level of high expectation when you sit down to watch a comedy with a cast headed by Cary Grant, Jayne Mansfield, Ray Walston and Werner Klemperer. Those expectations are buoyed further when the film is directed by Stanley Donen, whose comic touch was so evident in, among others, DAMN YANKEES!, BEDAZZLED and CHARADE. For the first five minutes, or so, it seems that those expectations might be met and then. Nothing. What is supposed to be a light comedy, plunges into leaden, heavy handed melodrama, with nary a chuckle to be had.<br /><br />Relative newcomer Suzy Parker has often been criticized for her performance, or lack of one, in this film, but in a movie in which even the great Cary Grant frequently appears flat and wooden, attacking Parker seems unfair. Not even as bright a light as an Audrey Hepburn or Doris Day could have changed the fortunes of this meandering, dreary and wholly pointless script, which drags itself lamely along and drags the viewer's interest and patience down with it.<br /><br />The rest of the cast, especially Ray Walston, keep trying to breath some life into the proceedings, but the horrible script is beyond resuscitation. The desperate, inane effort to drag a half hearted laugh from the numbed audience in the film's final moments only serves to add insult to injury.<br /><br />This film is nothing but a major disappointment on all levels.",neg
"I am at a distinct disadvantage here. I have not seen the first two movies in this series, although I have seen a lot of Larry Cohen films. Fans of the series seem to think this is a good film. Judging it on it's own, it was pretty boring.<br /><br />You never get a real good look at the maniac cop's (Robert Z'Dar) face, but what I did see was pretty grim. The death scenes seem to be staged to eat up the most film, not to give any thrills. Maybe if I saw the NC-17 Director's Cut, I may be more impressed.<br /><br />The ending with the car chase with Z'Dar, Caitlin Dulany, and Robert Davi was pretty intense. best part of the movie.",neg
"Now, I'm no film critic, but I truly hated ""September 11"". This film was, on a general basis, bad. With the exception of Alejandro González Iñárritu's segment, which was the most effective and direct about the subject matter, the short films were at best boring, and at worst offensive. The worst in my mind was Youssef Chahine's pretentious segment in which he compared Palestinian suicide bombers to American soldiers, even going so far as to suggest the suicide bombers were fighting for a greater cause. The segment was completely off topic and, considering Chahine's seeming lack of any decency whatsoever, a waste of my time and patience. The idea of getting eleven different directors from different countries to make a movie featuring their views on a tragedy was good on paper, but in practice, it was tasteless.",neg
"Although I have not seen this mini-series in over twenty years I can still remember how the balance between character,plot and tale of marvelous adventures succeeded. The use of special effects was restrained making a more poetic rather than literal telling of the story. The two versions I've seen were dubbed (English and French)but the actors appear to speak their own language not just Italian so there is a synchronization problem. It does not spoil the story telling. Among the cast Irene Pappas as Penelope is the most recognizable to North Americans. Recommended to all followers of Odysseus' ever returning.",pos
"I read in the papers that W.Snipes was broke so no wonder he would take parts in low budget projects like The Contractor.He is just the next action star to join a growing club:the penniless action stars of the 90s (Van Damme,Segal,Lundgren,Snipes). Here he stars the lead in a cheap action flick which was shot in Bulgaria( we are supposed to believe that the location is London, like only a complete moron would buy that)The story is the one of 1000 other movies: retired special forces good guy gets hired by the government again to do a wet job- after that government wants to get rid of him- good guy gets away after killing bad guys (was that a spoiler? guess not!) The star of the movie: the little girl (Eliza Bennett) outperforms everybody else of the cast!!!One star is for her plus one star for eye candy Lena Headey, makes 2 stars. Only for die hard Snipes fans!Everybody else:avoid!",neg
"Since Crouching Tiger Hidden Dragon came along, there's been a lot of talk about a revival of the Hong Kong movie industry. Don't believe it. The people now making movies in HK give new meaning to the word crass. Running Out of Time 2 is a perfect example. Ekin Cheng is the name draw, here, but he spends most of the film just grinning idiotically and flipping a coin. He flips the coin over and over and again and again. Why? Who knows? Sean Lau plays a cop who chases after the coin-flipping pretty boy. But once again: who knows why? There's a pretty actress in the female lead who runs some sort of company and she has to pay a ransom or something but she mostly just looks like she would rather be at a spa or shopping centre than in front of a camera. Nothing makes any sense. There is no action. There is no sex. There is no comedy. All there is is a name: Ekin Cheng. And you know what? Who cares?",neg
